"fips" "mkt" "statefp"
"13183" 17 "13"
"13185" 223 "13"
"13187" 303 "13"
"13189" 38 "13"
"13191" 17 "13"
"13193" 284 "13"
"13195" 38 "13"
"13197" 286 "13"
"13199" 60 "13"
"13201" 11 "13"
"13205" 11 "13"
"13207" 284 "13"
"13209" 17 "13"
"13211" 38 "13"
"13213" 267 "13"
"13215" 286 "13"
"13217" 416 "13"
"13219" 38 "13"
"13221" 38 "13"
"13223" 80 "13"
"13225" 284 "13"
"13227" 417 "13"
"13229" 18 "13"
"13231" 74 "13"
"13233" 244 "13"
"13235" 284 "13"
"13237" 284 "13"
"13239" 11 "13"
"13241" 303 "13"
"13243" 11 "13"
"13245" 38 "13"
"13247" 418 "13"
"13249" 11 "13"
"13251" 17 "13"
"13253" 11 "13"
"13255" 74 "13"
"13257" 303 "13"
"13259" 286 "13"
"13261" 11 "13"
"13263" 286 "13"
"13265" 38 "13"
"13267" 17 "13"
"13269" 284 "13"
"13271" 17 "13"
"13273" 11 "13"
"13275" 263 "13"
"13277" 184 "13"
"13279" 17 "13"
"13281" 303 "13"
"13283" 17 "13"
"13285" 60 "13"
"13287" 184 "13"
"13289" 284 "13"
"13291" 303 "13"
"13293" 284 "13"
"13295" 267 "13"
"13297" 38 "13"
"13299" 18 "13"
"13301" 38 "13"
"13303" 38 "13"
"13305" 17 "13"
"13307" 11 "13"
"13309" 17 "13"
"13311" 303 "13"
"13313" 419 "13"
"13315" 284 "13"
"13317" 38 "13"
"13319" 284 "13"
"13321" 11 "13"
"15005" 420 "15"
"15009" 421 "15"
"16001" 252 "16"
"16003" 252 "16"
"16005" 290 "16"
"16007" 290 "16"
"16009" 289 "16"
"16011" 227 "16"
"16013" 252 "16"
"16015" 252 "16"
"16017" 216 "16"
"16019" 227 "16"
"16021" 216 "16"
"16023" 227 "16"
"16025" 252 "16"
"16027" 252 "16"
"16029" 290 "16"
"16031" 278 "16"
"16033" 227 "16"
"16035" 155 "16"
"16037" 227 "16"
"16039" 252 "16"
"16041" 211 "16"
"16043" 227 "16"
"16045" 252 "16"
"16047" 278 "16"
"16049" 155 "16"
"16051" 227 "16"
"16053" 278 "16"
"16055" 289 "16"
"16057" 155 "16"
"16059" 227 "16"
"16061" 155 "16"
"16063" 278 "16"
"16065" 227 "16"
"16067" 278 "16"
"16069" 155 "16"
"16071" 211 "16"
"16073" 252 "16"
"16075" 252 "16"
"16077" 290 "16"
"16079" 289 "16"
"16081" 227 "16"
"16083" 278 "16"
"16085" 252 "16"
"16087" 252 "16"
"17001" 14 "17"
"17003" 48 "17"
"17005" 14 "17"
"17007" 154 "17"
"17009" 14 "17"
"17011" 253 "17"
"17013" 221 "17"
"17015" 422 "17"
"17017" 14 "17"
"17019" 81 "17"
"17021" 14 "17"
"17023" 176 "17"
"17025" 15 "17"
"17027" 15 "17"
"17029" 81 "17"
"17031" 423 "17"
"17033" 258 "17"
"17035" 81 "17"
"17037" 424 "17"
"17039" 81 "17"
"17041" 81 "17"
"17043" 92 "17"
"17045" 176 "17"
"17047" 287 "17"
"17049" 14 "17"
"17051" 14 "17"
"17053" 81 "17"
"17055" 198 "17"
"17057" 253 "17"
"17059" 287 "17"
"17061" 14 "17"
"17063" 425 "17"
"17065" 287 "17"
"17067" 14 "17"
"17069" 296 "17"
"17071" 33 "17"
"17073" 253 "17"
"17075" 81 "17"
"17077" 198 "17"
"17079" 81 "17"
"17081" 15 "17"
"17083" 221 "17"
"17085" 33 "17"
"17087" 198 "17"
"17089" 426 "17"
"17091" 427 "17"
"17093" 92 "17"
"17095" 253 "17"
"17097" 428 "17"
"17099" 253 "17"
"17101" 258 "17"
"17103" 154 "17"
"17105" 161 "17"
"17107" 14 "17"
"17109" 253 "17"
"17111" 429 "17"
"17113" 161 "17"
"17115" 81 "17"
"17117" 14 "17"
"17119" 221 "17"
"17121" 15 "17"
"17123" 253 "17"
"17125" 14 "17"
"17127" 296 "17"
"17129" 14 "17"
"17131" 91 "17"
"17133" 15 "17"
"17135" 14 "17"
"17137" 14 "17"
"17139" 81 "17"
"17141" 154 "17"
"17143" 253 "17"
"17145" 198 "17"
"17147" 81 "17"
"17149" 14 "17"
"17151" 296 "17"
"17153" 48 "17"
"17155" 253 "17"
"17157" 15 "17"
"17159" 287 "17"
"17161" 91 "17"
"17163" 15 "17"
"17165" 287 "17"
"17167" 14 "17"
"17169" 14 "17"
"17171" 14 "17"
"17173" 14 "17"
"17175" 253 "17"
"17177" 430 "17"
"17179" 253 "17"
"17181" 198 "17"
"17183" 81 "17"
"17185" 287 "17"
"17187" 253 "17"
"17189" 15 "17"
"17191" 287 "17"
"17193" 287 "17"
"17195" 431 "17"
"17197" 432 "17"
"17199" 198 "17"
"17201" 154 "17"
"17203" 253 "17"
"18001" 163 "18"
"18003" 163 "18"
"18005" 168 "18"
"18007" 238 "18"
"18009" 163 "18"
"18011" 131 "18"
"18013" 165 "18"
"18015" 238 "18"
"18017" 238 "18"
"18019" 55 "18"
"18021" 176 "18"
"18023" 238 "18"
"18025" 55 "18"
"18027" 55 "18"
"18029" 102 "18"
"18031" 165 "18"
"18033" 163 "18"
"18035" 261 "18"
"18037" 287 "18"
"18039" 433 "18"
"18041" 131 "18"
"18043" 55 "18"
"18045" 238 "18"
"18047" 121 "18"
"18049" 434 "18"
"18051" 287 "18"
"18053" 163 "18"
"18055" 215 "18"
"18057" 131 "18"
"18059" 131 "18"
"18061" 55 "18"
"18063" 131 "18"
"18065" 261 "18"
"18067" 435 "18"
"18069" 163 "18"
"18071" 168 "18"
"18073" 238 "18"
"18075" 261 "18"
"18077" 55 "18"
"18079" 168 "18"
"18081" 165 "18"
"18083" 258 "18"
"18085" 163 "18"
"18087" 163 "18"
"18089" 436 "18"
"18091" 437 "18"
"18093" 215 "18"
"18095" 438 "18"
"18097" 131 "18"
"18099" 439 "18"
"18101" 55 "18"
"18103" 163 "18"
"18105" 215 "18"
"18107" 238 "18"
"18109" 165 "18"
"18111" 238 "18"
"18113" 163 "18"
"18115" 102 "18"
"18117" 55 "18"
"18119" 215 "18"
"18121" 176 "18"
"18123" 287 "18"
"18125" 287 "18"
"18127" 440 "18"
"18129" 287 "18"
"18131" 238 "18"
"18133" 131 "18"
"18135" 172 "18"
"18137" 102 "18"
"18139" 131 "18"
"18141" 441 "18"
"18143" 55 "18"
"18145" 165 "18"
"18147" 287 "18"
"18149" 442 "18"
"18151" 163 "18"
"18153" 176 "18"
"18155" 102 "18"
"18157" 238 "18"
"18159" 131 "18"
"18161" 172 "18"
"18163" 287 "18"
"18165" 176 "18"
"18167" 176 "18"
"18169" 163 "18"
"18171" 238 "18"
"18173" 287 "18"
"18175" 55 "18"
"18177" 172 "18"
"18179" 163 "18"
"18181" 238 "18"
"18183" 163 "18"
"19001" 33 "19"
"19003" 33 "19"
"19005" 34 "19"
"19007" 33 "19"
"19009" 443 "19"
"19011" 33 "19"
"19013" 33 "19"
"19015" 33 "19"
"19017" 33 "19"
"19019" 33 "19"
"19021" 298 "19"
"19023" 33 "19"
"19025" 33 "19"
"19027" 33 "19"
"19029" 33 "19"
"19031" 33 "19"
"19033" 34 "19"
"19035" 298 "19"
"19037" 34 "19"
"19039" 33 "19"
"19041" 3 "19"
"19043" 33 "19"
